Group,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09
Group 1,8,10,7,9,8,10,8,Study alone페이지에서 학생들이 자신의 수준별로 지문을 학습 할 수 있도록 만든 것이 인상깊었다.,앱사용 설명을 자세히 적어서 이해에 도움이 많이 될것 같지만 이해하는 데에 시간이 오래 걸릴 것 같아서 조금 더 가독성 있고 보기쉽게 설명을 적어놓았으면 좋았을 것 같다. 추가적으로 앱 소개 영상이 학생들이 이해하기에 어려워 보였다. 그래서 직접 클릭해서 답은 어떻게 나오고 어떻게 수정하는지 그 과정까지 녹화해서 영상으로 보여줄 수 있으면 학생들에게 더 좋을 것 같다고 생각이 들었다.
Group 1,7,9,9,8,7,9,8,앱의 기능을 소개해 주어 이용자들이 한번에 볼 수 있는 페이지가 사용에 유용하다고 생각한다. 수준별 문법 수업에서 단계별 퀴즈를 제시한 것도 학습에 도움이 될 것 같다. 수동태를 그림으로 나타내는 활동도 학생들에게 문법을 색다르게 공부할 수 있는 방법이 될 수 있을 것 같다.,"문법 수업에서 수업 시간에 학생들에게 어떻게 설명할 것인지에 대한 파트가 좀 더 필요하다고 생각한다. 수동태에 대한 개념적 설명을 한눈에 볼 수 있는 부분이 좀 더 필요하다고 생각한다. 또한 수동태를 그림으로 어떻게 나타낼지에 대한 방법과 이를 학생들이 어떻게 그림으로 나타낼 수 있을지에 대한 방법을 알려주는 것도 좋을 것 같다."
Group 1,7,8,6,8,7,8,7,영상을 사용하여 스스로 학습하는 학생들도 충분히 내용을 이해하고 학습할 수 있도록 한 점이 인상 깊었다. 랜덤으로 스크립트를 제시해서 롤플레이를 하고 문법을 내면화할 수 있게 한 부분 역시 좋다고 생각했다. 점수를 통해 학생들이 성취감을 느끼고 퀴즈에 집중할 수 있게 한 것이 좋다고 생각했다.,passage 파트에서 이미 텍스트가 주어졌기 때문에 show text 버튼을 없애도 좋을 것 같다. study alone에서 memorization of the text 파트의 가독성을 높이거나 학생들이 사용하기 쉽도록 버튼화했으면 더 좋았겠다는 생각이 들었다. 패들릿을 페이지에 임베드해서 학생들이 더욱 편하게 업로드할 수 있게 하면 좋겠다.
Group 1,7,8,7,8,6,8,7,"Study alone이라는 페이지가 따로 설계되어있어서 학생들의 복습에 도움이 될 것 같음 단순히 과제를 내주는 게 아니라 padlet에 과제를 제출할 수 있도록 설계한 점이 인상 깊었음. How the use this app페이지를 따로 마련해둬서 학생들이 교실 외에서 혼자 학습할 경우에 좋은 점으로 작용할 것 같음","Passage reading 페이지 - 문장별로 tts를 통해 읽을 수 있도록 구성되었는데, 이전 문장과 다음 문장을 순서대로 들을 수 있도록 되어있는 점이 아쉬웠음. 문장에 번호를 매겨서 원하는 번호의 문장을 클릭하면 들어볼 수 있는 방식이 더 사용하기 편리할 것 같음"
Group 1,8,9,9,8,8,9,9,How To Use This App을 dropdown을 이용한 것이 시각적으로 편안한 디자인이었다고 생각한다.,Study Alone - Memorization of the Text에서 답안을 기입할 때 복수 답안을 한꺼번에 기입해야 해서 누락의 가능성이 존재할 듯하다.
Group 1,9,8,7,9,7,8,8,"단계별 이용방법을 정리해놓은 점, 스토리를 학습의 과정에 있어 뜻이나 한 문장씩 제공하는 형태를 채택한 점이 학생에게 친절하게 느껴졌다.","Dialogue를 제공할때 A,B라는 음성 대신 다른 목소리로 구성할 수 있었으면 더 효과적일 것 같다. 그림을 업로드한다는 것이 수동태의 문법적 학습과는 좀 멀다고 느껴진다. 문법설명의 가독성이 조금 떨어져보이기도 한다."
Group 1,7,8,7,7,7,9,8,"Role play dialog app was interesting. It will be useful for studying their passive grammar. It was good that they made 3 levels of test since students’ level differ. Also it is interesting that there is a ‘study alone’ tab, and that they used padlet to check homework.","It would have been better if they had slightly introduced their story at the beginning. Also, the instructions are mostly a bit poor."
Group 1,7,8,7,8,7,6,7,Roll playing was the most impressive part of presentation.,There was a lack of detailed content regarding level-specific learning for learners.
Group 1,10,5,7,9,8,5,7,how to use this app 이라는 메뉴를 만들어서 앱의 사용 방법을 정말 간편하게 한눈에 볼 수 있도록 만들었다.,다음 차시에 활용할 메뉴에 다음 차시에 활용한다는 설명이 적혀 있으면 학생이 혼자서 활용할 때 더 도움이 될 것 같다.
Group 2,8,8,8,7,8,9,9,I liked the grammar quiz(arrange the sentence). That is an efficient way to practice newly learned concept.,I'd like to add some instruction video and after-school activity(homework).
Group 2,9,9,9,8,9,7,9,만화 그리기 활동을 통해 학생들이 즐겁게 학습이 가능할 것 같다. 또한 문법 수업 후 문장 구조 퀴즈에서도 학생들이 효과적으로 문법을 배울 수 있을 것 같다. 크로스워드 체크 활동도 학생들이 단어의 스펠링을 공부하고 외우기에 좋은 활동들인 것 같고 참신하다고 생각해서 인상깊었다.,문법을 수업한 후 구조 퀴즈 활동을 하는 것도 문법 학습에 더 효과적일 수도 있을 것 같다. 또한 문법 예습 활동에서 학생들이 어떤 문법에 배울지 예측하기는 힘든 활동일 수 있다고 생각한다. 크로스워드 퍼즐을 pdf로 제시해서 학생들이 다운받을 수 있도록 해둬도 좋을 것 같다.
Group 2,7,8,8,7,8,6,7,"전체적으로 학생들이 서로의 의견을 “공유”하고 “협동”할 수 있는 활동이 많은 어플인 것 같아 인상깊음. 학생들이 수업 전에 미리 학습할 수 있도록 페이지를 따로 구분해둔 점이 좋았음.","Warm up 페이지에서 학생들이 바탕으로 추측할 사진들 전에, 가이드라인이 나오는 게 순서에 있어서 더 적절할 것 같음. Story 페이지에서 스토리를 읽어주는 TTS가 포함되어있는데, 텍스트를 전체적으로만 들어볼 수 있도록 설계한 점이 아쉬움. 학생들이 듣고자하는 파트의 문장만 골라 들을 수 있다면 더욱 좋을 것 같음. 그래머 퀴즈 부분이나, 설명 부분을 봤을 때 수업 이후 학생들이 스스로 하는 복습을 위한 게 조금 부족하다는 생각이 듦."
Group 2,2,7,2,8,6,3,8,"단어 십자말풀이가 인상깊었다. 단어를 선택해서 빈칸을 채우게 하는 시스템이 참신했다.","피드백에 대한 설명을 하지 않고 넘어가서 앱에 대해 이해가 되지 않음. 과제나 혼자 학습을 할 수 있는 시스템이 부족함. 학생이 개념을 모를 때 어떻게 해야 하는지에 대한 방안이 부족함. 학생의 능력을 과잉적으로 높게 예측해서 앱을 실시해 초중급 수준의 학생이 따라가기 힘들 것 같음. 각 앱이 구체적이지 않게 구성됨"
Group 2,9,9,8,8,9,9,8,"앱이 전체적으로 체계적으로 구성되었으며, layout이 탁월한 구성을 띄고 있다고 생각한다. 또한, crossword puzzle와 캔버스 활용이 매우 창의적인 활용 방안이라고 느끼게 되었다.","사용된 embedded Padlet 내에 세부적 활동 안내를 추가해서 활동을 직관적으로 도울 수 있으면 좋을 것이라고 생각한다. 또한, 중간중간 발생하는 error를 수정한다면 더욱 뛰어난 앱 활용 경험이 될 것이라고 느꼈다. 마지막으로 Sentence Structure Quiz가 사용하는 데에 있어 설명이 조금 더 상세하다면 활동이 수월해질 것이라고 생각한다."
Group 2,8,8,9,8,8,8,9,"Cross across activity was creative. I want to try it, too! I like the drawing story part. I think students will enjoy it. The system is will made! (Draw-save-share by padlet)","There are too many vocabulary lists to study. Also, I wish there were some visual materials in the grammar explaining part."
Group 2,8,7,9,8,7,6,8,crossword puzzle was the most useful moment in application.,It would be nice to increase the font size a bit.
Group 2,8,10,10,8,9,9,8,단어 학습 마지막 단계에서 빙고게임을 통해 학생들이 즐겁게 학습할 수 있을 것 같음.,핵심문법 두가지를 하루 수업에 다 하기에는 시간이 부족할 것 같음. 드로잉 활동에서 오디오를 듣고 문장을 알지 못하는 학생들은 어떻게 해결해 줄 것인지에 대한 방안이 필요할 것 같음. 문제에 대한 해설이 있으면 학생들이 더 잘 이해할 수 있을 것 같음.
Group 3,8,8,9,9,9,7,9,They have profound instruction in padlet page. It is so creative that they adapted AI grammar check function.,"I guess there are too many apps. I wonder if the AI grammar checker also filters whether the provided random word is written or not. I prefer to have indication for forms of irregular verbs(which one is past or participle)"
Group 3,9,9,9,8,9,10,9,학습동기를 고려해서 vocabulary에서 단어 수를 13개 정도로 적절히 넣었다는 것이 인상깊었다. 단어 레벨 별로 학습할 수 있도록 텝을 다양하게 구성한 점도 좋았다. Thinking beyond라는 페이지를 만들어서 학생들의 사고를 넓히면서 영어를 학습 할 수 있도록 한 것이 다른 조와 차별되는 좋은 부분이라고 생각한다.,본문 원문과 해석문을 같은 화면에 띄워주면 학생들이 학습하는 데에 더 도움이 될 것 같다.
Group 3,9,9,8,8,7,6,8,"본문에서 빈번하게 나오는 단어를 색으로 강조하여 시각적으로 제시한 것이 좋았다. 단어의 동의어와 반의어를 제시하여 사전처럼 사용할 수 있도록 제작한 것이 인상깊었다. 문법 앱을 구성할 때 목표부터 체계적으로 정리하여 학생들이 효과적으로 학습할 수 있을 것 같다. 학생들이 자신만의 글을 쓰고 문법적으로 옳고그름을 확인할 수 있게 만들어 둔 것으로 writing 연습까지 구성한 것이 마음에 들었다. 앱을 사용할 때 교사가 유동성 있게 조정할 수 있는 점이 좋았다.","활동이 다양하여 시간 내에 끝낼 수 있을지 생각해 봐야 할 것 같다. 학생들이 자신이 잘 알고 있는지 혼자 확인할 수 있는 시스템이 부족한 듯. 본문을 학습하는 활동이 부족하여 조금 더 추가해야 할 것 같다." 
Group 3,9,10,8,9,9,7,9,모든 어휘학습이 예문을 포함한다는 점이 정말 좋았다. 항목별로 정보들이 이어질 수 있도록 효율적이고 가시성 좋게 배치한 인터페이스가 좋았다. 흥미있게 수업에 참여할만한 활동들이 많아 참여도를 기대할 수 있는 것 같다.,"모든 퀴즈에 있어서 끝이 존재하지 않고, 랜덤의 특성상 반복된다는 점에서 일부 문제에 소홀해질 가능성이 우려된다."
Group 3,9,9,10,8,7,7,8,"피드백을 받을 수 있도록 이메일을 적어 놓은 점이 참신했다. 본문 텍스트의 자주 나오는 단어에 하이라이트를 해 놓은 것이 좋았다.",본문 내용을 좀 더 재미있게 익힐 수 있는 활동이 있다면 좋겠다.
Group 3,5,9,10,10,9,7,10,본문에서 여러번 나오는 단어에 하이라이트 표시를 해준 것. 단어에 해당하는 지문을 다른 지문 탭으로 넘어가지 않고 바로 볼 수 있다는 점이 좋았음.,단어 리스트에 있는 단어 외에 본문 단어를 모를 수 있는 상황에 대비할 방법이 필요할 것 같음. 퀴즈를 진행했을 때 점수를 볼 수 있도록 하면 효율적일듯. 퀴즈에서 다음 문제로 넘어가는 버튼이 있다면 더 좋을듯.
